epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2038.34,0.18385,2.7157,0.97314,0.40649,0.45208,0.20098,0.20085,0.1497,2.91156,0.23758,0.00332211,0.00332211,0.00332211
2,3884.16,0.14726,1.93511,0.91757,0.13491,0.41706,0.17654,0.17406,0.28317,3.3038,0.38037,0.00652367,0.00652367,0.00652367
3,5735.98,0.17084,1.72905,0.92244,0.12758,0.28064,0.12114,0.07975,0.96746,3.07342,1.66541,0.00959322,0.00959322,0.00959322
4,7620.18,0.15366,1.56778,0.91613,0.17053,0.48942,0.19895,0.17761,0.17307,2.82438,0.23996,0.009406,0.009406,0.009406
5,9525.32,0.12062,1.4573,0.90513,0.23451,0.53821,0.24986,0.24474,0.20386,1.89427,0.2869,0.009208,0.009208,0.009208
6,11377.5,0.10474,1.40898,0.90102,0.16003,0.4693,0.22484,0.22443,0.08762,1.86853,0.14412,0.00901,0.00901,0.00901
7,13211.5,0.09246,1.3774,0.89717,0.2809,0.58665,0.3483,0.3414,0.1806,1.34658,0.24492,0.008812,0.008812,0.008812
8,15049.4,0.086,1.34552,0.89423,0.33399,0.6395,0.39844,0.39742,0.07159,1.2304,0.12045,0.008614,0.008614,0.008614
9,16932.7,0.07741,1.32817,0.89552,0.35547,0.67043,0.44089,0.432,0.18751,1.14161,0.25759,0.008416,0.008416,0.008416
10,18761.3,0.073,1.30768,0.89204,0.31377,0.62055,0.38166,0.37769,0.16193,1.25698,0.22361,0.008218,0.008218,0.008218
11,20614.7,0.06805,1.29549,0.8916,0.26778,0.66176,0.37968,0.3758,0.14424,1.44473,0.20181,0.00802,0.00802,0.00802
12,22447.6,0.06579,1.27563,0.88957,0.3476,0.63861,0.42572,0.42529,0.09728,1.15008,0.1302,0.007822,0.007822,0.007822
13,24261.2,0.062,1.26511,0.89,0.32748,0.68386,0.42332,0.4153,0.17627,1.21702,0.24272,0.007624,0.007624,0.007624
14,26102,0.05937,1.25523,0.88869,0.42092,0.6566,0.47233,0.47049,0.10875,1.06915,0.15037,0.007426,0.007426,0.007426
15,27981.6,0.05858,1.24637,0.88863,0.37844,0.70346,0.49275,0.4926,0.0846,1.04381,0.12894,0.007228,0.007228,0.007228
16,29856.6,0.05531,1.23549,0.88883,0.3817,0.687,0.47471,0.46694,0.17362,1.12099,0.23332,0.00703,0.00703,0.00703
17,31710.1,0.05326,1.22768,0.88898,0.3863,0.69305,0.48401,0.48363,0.08503,1.07243,0.12826,0.006832,0.006832,0.006832
18,33554.2,0.05149,1.21407,0.88701,0.38674,0.68212,0.48925,0.48925,0.13164,1.06706,0.17098,0.006634,0.006634,0.006634
19,35395.3,0.04985,1.20697,0.88811,0.41855,0.70408,0.51514,0.51481,0.0992,1.00734,0.13616,0.006436,0.006436,0.006436
20,37248.8,0.04814,1.20134,0.88853,0.4023,0.65378,0.48525,0.47858,0.15479,1.12278,0.21176,0.006238,0.006238,0.006238
21,39090.9,0.0469,1.20266,0.88821,0.41394,0.72425,0.52897,0.52897,0.06934,0.96894,0.09062,0.00604,0.00604,0.00604
22,40915,0.04585,1.18749,0.88586,0.41527,0.7099,0.50807,0.50542,0.13738,1.04201,0.18727,0.005842,0.005842,0.005842
23,42764.6,0.04382,1.18606,0.88798,0.42396,0.68568,0.51869,0.51859,0.0762,1.01216,0.10731,0.005644,0.005644,0.005644
24,44593.5,0.04196,1.18074,0.88705,0.42591,0.70395,0.52809,0.52756,0.11675,0.99126,0.16242,0.005446,0.005446,0.005446
25,46451.9,0.04172,1.16791,0.88584,0.42,0.70443,0.52325,0.52296,0.11476,0.99945,0.15971,0.005248,0.005248,0.005248
26,48279.7,0.04055,1.16833,0.88676,0.42856,0.72862,0.53532,0.53264,0.09571,0.97072,0.13472,0.00505,0.00505,0.00505
27,50149,0.03893,1.16001,0.88476,0.42665,0.73014,0.53748,0.52858,0.11903,0.98508,0.16797,0.004852,0.004852,0.004852
28,52012.8,0.03737,1.15534,0.88471,0.44589,0.71303,0.55129,0.55123,0.07664,0.93555,0.11099,0.004654,0.004654,0.004654
29,53876.1,0.03646,1.14657,0.88421,0.43226,0.74395,0.54261,0.5426,0.07792,0.9505,0.11029,0.004456,0.004456,0.004456
