epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,167.567,2.50122,0.27291,0.72534,2.25613,0.00332295,0.00332295,0.00332295
2,303.908,2.12589,0.3235,0.82318,1.95955,0.0066431,0.0066431,0.0066431
3,446.048,1.84503,0.35997,0.82858,1.84795,0.00995006,0.00995006,0.00995006
4,582.734,1.64518,0.46147,0.92816,1.45482,0.0099406,0.0099406,0.0099406
5,722.448,1.50691,0.50254,0.95306,1.2991,0.0099208,0.0099208,0.0099208
6,858.431,1.42676,0.50396,0.95829,1.26414,0.009901,0.009901,0.009901
7,998.99,1.38458,0.43419,0.88899,1.56406,0.0098812,0.0098812,0.0098812
8,1136.99,1.33003,0.51618,0.96369,1.22451,0.0098614,0.0098614,0.0098614
9,1272.81,1.30225,0.51871,0.9491,1.26603,0.0098416,0.0098416,0.0098416
10,1407.24,1.27956,0.55392,0.97019,1.14262,0.0098218,0.0098218,0.0098218
11,1545.57,1.2452,0.53869,0.96765,1.1726,0.009802,0.009802,0.009802
12,1680.43,1.22855,0.5731,0.97637,1.08913,0.0097822,0.0097822,0.0097822
13,1817.48,1.21696,0.55852,0.97415,1.11472,0.0097624,0.0097624,0.0097624
14,1953.71,1.20207,0.58262,0.97605,1.05993,0.0097426,0.0097426,0.0097426
15,2090.28,1.17489,0.58183,0.98065,1.06043,0.0097228,0.0097228,0.0097228
16,2228.13,1.17083,0.59213,0.98367,1.01967,0.009703,0.009703,0.009703
17,2363.72,1.15555,0.58611,0.97891,1.05783,0.0096832,0.0096832,0.0096832
18,2500.79,1.14509,0.5758,0.97605,1.06214,0.0096634,0.0096634,0.0096634
19,2643.96,1.14136,0.60212,0.98478,1.002,0.0096436,0.0096436,0.0096436
20,2788.42,1.13294,0.5942,0.98049,1.03609,0.0096238,0.0096238,0.0096238
21,2925.87,1.11728,0.61116,0.98303,0.98326,0.009604,0.009604,0.009604
22,3062.68,1.11112,0.61386,0.98509,0.9697,0.0095842,0.0095842,0.0095842
23,3200.17,1.10587,0.61196,0.98446,0.98704,0.0095644,0.0095644,0.0095644
24,3341.08,1.10357,0.62718,0.98684,0.94416,0.0095446,0.0095446,0.0095446
25,3477.98,1.09,0.6321,0.98446,0.94599,0.0095248,0.0095248,0.0095248
26,3619.43,1.08869,0.64082,0.987,0.93115,0.009505,0.009505,0.009505
27,3761.08,1.08113,0.64225,0.98557,0.92346,0.0094852,0.0094852,0.0094852
28,3903.56,1.06403,0.64003,0.98779,0.92386,0.0094654,0.0094654,0.0094654
29,4041.25,1.06727,0.64082,0.98668,0.91823,0.0094456,0.0094456,0.0094456
30,4185.22,1.05711,0.64462,0.987,0.91068,0.0094258,0.0094258,0.0094258
31,4323.6,1.04854,0.64827,0.98795,0.9035,0.009406,0.009406,0.009406
32,4456.62,1.05351,0.65144,0.987,0.89724,0.0093862,0.0093862,0.0093862
33,4595.8,1.05304,0.65366,0.98779,0.89353,0.0093664,0.0093664,0.0093664
34,4734.64,1.03601,0.65176,0.98779,0.89359,0.0093466,0.0093466,0.0093466
35,4870.3,1.0298,0.65826,0.98842,0.88174,0.0093268,0.0093268,0.0093268
36,5012.19,1.0301,0.66445,0.98858,0.87915,0.009307,0.009307,0.009307
37,5146.61,1.02494,0.66889,0.98842,0.8708,0.0092872,0.0092872,0.0092872
38,5285.75,1.0267,0.67206,0.98858,0.86653,0.0092674,0.0092674,0.0092674
39,5421.24,1.01574,0.66667,0.98906,0.86378,0.0092476,0.0092476,0.0092476
