epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4435,0.20704,1.37711,0.97515,0.80914,0.88641,0.90961,0.88975,0.22999,0.76648,0.57802,0.0033235,0.0033235,0.0033235
2,160.504,0.16313,0.718,0.91099,0.73154,0.82804,0.87722,0.83882,0.31048,0.77128,0.66886,0.00652503,0.00652503,0.00652503
3,239.194,0.18859,0.64186,0.91966,0.40549,0.68696,0.62373,0.54746,0.39225,1.43676,0.77696,0.00959456,0.00959456,0.00959456
4,377.446,0.17375,0.61179,0.913,0.78043,0.85035,0.89246,0.79751,0.21927,0.74455,0.56133,0.009406,0.009406,0.009406
5,498.329,0.1396,0.55838,0.89927,0.81551,0.85466,0.90898,0.87075,0.18207,0.57247,0.50078,0.009208,0.009208,0.009208
6,639.015,0.11888,0.52964,0.89084,0.84436,0.85914,0.93463,0.92427,0.10903,0.4577,0.42553,0.00901,0.00901,0.00901
7,777.152,0.10611,0.50514,0.88778,0.87723,0.89294,0.95193,0.94169,0.13633,0.38658,0.4705,0.008812,0.008812,0.008812
8,946.643,0.09659,0.48815,0.88498,0.78275,0.86281,0.91741,0.87819,0.19915,0.63263,0.52922,0.008614,0.008614,0.008614
9,1077.92,0.09047,0.47521,0.88244,0.86961,0.88836,0.94218,0.93613,0.11846,0.42974,0.44637,0.008416,0.008416,0.008416
10,1250.14,0.08563,0.46534,0.88078,0.88885,0.9026,0.95291,0.94717,0.10512,0.3531,0.41767,0.008218,0.008218,0.008218
11,1390.7,0.0812,0.45849,0.88202,0.91279,0.88914,0.95873,0.9556,0.12359,0.37108,0.43977,0.00802,0.00802,0.00802
12,1542.31,0.07693,0.45029,0.87836,0.91116,0.91559,0.96644,0.96399,0.12791,0.33848,0.44734,0.007822,0.007822,0.007822
13,1706.87,0.07255,0.44083,0.87958,0.90931,0.9286,0.96818,0.96656,0.12971,0.31433,0.45008,0.007624,0.007624,0.007624
14,1863.67,0.06941,0.42766,0.87601,0.90838,0.91769,0.97035,0.96846,0.1247,0.32422,0.44481,0.007426,0.007426,0.007426
15,2083.28,0.06699,0.42162,0.87705,0.90786,0.92553,0.97047,0.96797,0.11624,0.31129,0.43465,0.007228,0.007228,0.007228
16,2244.32,0.06394,0.41969,0.87534,0.91299,0.93293,0.97669,0.9758,0.0856,0.27304,0.39653,0.00703,0.00703,0.00703
17,2431.61,0.06176,0.41548,0.8749,0.91803,0.92236,0.97459,0.97323,0.11405,0.30562,0.43574,0.006832,0.006832,0.006832
18,2616.19,0.05867,0.40614,0.87509,0.91243,0.9376,0.97515,0.9743,0.11213,0.28783,0.43249,0.006634,0.006634,0.006634
19,2786.26,0.05795,0.40266,0.87439,0.92915,0.93076,0.97591,0.9734,0.10166,0.29487,0.42638,0.006436,0.006436,0.006436
20,2997.52,0.05653,0.40152,0.87526,0.92919,0.93507,0.97703,0.97602,0.10492,0.28664,0.41903,0.006238,0.006238,0.006238
21,3157.26,0.05481,0.39439,0.87489,0.92973,0.93561,0.97945,0.97836,0.09917,0.28026,0.42122,0.00604,0.00604,0.00604
22,3366.48,0.05319,0.38709,0.87285,0.91608,0.93984,0.97819,0.97696,0.09822,0.28695,0.42065,0.005842,0.005842,0.005842
23,3538.28,0.05241,0.38813,0.87353,0.92506,0.95321,0.98075,0.97976,0.10929,0.26681,0.42967,0.005644,0.005644,0.005644
24,3722.64,0.05103,0.38699,0.87375,0.95074,0.92658,0.98102,0.98061,0.10288,0.26263,0.42586,0.005446,0.005446,0.005446
25,3918.7,0.04941,0.3802,0.87379,0.92668,0.94743,0.98009,0.97901,0.10126,0.27122,0.42331,0.005248,0.005248,0.005248
26,4078.85,0.04743,0.37044,0.87194,0.93552,0.943,0.97964,0.97889,0.0994,0.26278,0.42062,0.00505,0.00505,0.00505
27,4297.07,0.04596,0.37342,0.87175,0.92135,0.95483,0.98016,0.9796,0.09621,0.26378,0.41901,0.004852,0.004852,0.004852
28,4455.74,inf,0.36341,0.8722,0.94071,0.94314,0.97974,0.97883,0.0931,0.25935,0.41342,0.004654,0.004654,0.004654
29,4656.08,0.04358,0.36645,0.87117,0.93645,0.94681,0.98145,0.98065,0.09345,0.25704,0.4112,0.004456,0.004456,0.004456
30,4836.08,inf,0.35545,0.87089,0.94316,0.94616,0.98227,0.98169,0.08923,0.25302,0.40909,0.004258,0.004258,0.004258
31,5012.5,0.04147,0.35978,0.87187,0.9452,0.94237,0.98216,0.98142,0.09183,0.25469,0.41091,0.00406,0.00406,0.00406
32,5217.27,0.03995,0.35582,0.87064,0.94115,0.94378,0.98278,0.98212,0.08783,0.25805,0.40812,0.003862,0.003862,0.003862
33,5377.61,0.03882,0.34887,0.87066,0.94497,0.94675,0.98327,0.98246,0.08866,0.25647,0.41026,0.003664,0.003664,0.003664
34,5591.95,inf,0.34626,0.87011,0.9406,0.94916,0.98335,0.98275,0.08823,0.25257,0.40927,0.003466,0.003466,0.003466
35,5758.37,inf,0.34059,0.86997,0.9403,0.9513,0.98316,0.98235,0.08766,0.25179,0.40984,0.003268,0.003268,0.003268
36,5935.72,inf,0.33945,0.86965,0.93096,0.96394,0.98324,0.98273,0.08928,0.25338,0.40967,0.00307,0.00307,0.00307
37,6095.02,0.03478,0.33681,0.86936,0.94557,0.95068,0.98275,0.98233,0.08343,0.24451,0.40251,0.002872,0.002872,0.002872
38,6228.72,0.03409,0.33134,0.87069,0.94912,0.94826,0.9828,0.98233,0.07019,0.22317,0.38422,0.002674,0.002674,0.002674
39,6406.46,inf,0.32726,0.86821,0.94529,0.95213,0.98258,0.9821,0.0783,0.23938,0.39684,0.002476,0.002476,0.002476
40,6541.01,0.03099,0.32175,0.86763,0.95105,0.94327,0.98233,0.9818,0.07867,0.24237,0.39917,0.002278,0.002278,0.002278
41,6699.02,0.03216,0.16564,0.85742,0.93623,0.96193,0.98242,0.98213,0.07901,0.241,0.40045,0.00208,0.00208,0.00208
42,6853.88,0.02766,0.14925,0.85624,0.94217,0.95169,0.98248,0.98221,0.07896,0.23917,0.3994,0.001882,0.001882,0.001882
43,6990.77,0.02615,0.14352,0.85422,0.94612,0.95253,0.982,0.98183,0.05893,0.21586,0.3718,0.001684,0.001684,0.001684
44,7166.97,0.02444,0.13604,0.85435,0.94744,0.95008,0.98176,0.98163,0.05306,0.20425,0.36367,0.001486,0.001486,0.001486
45,7300.38,0.02242,0.12901,0.85543,0.94997,0.9488,0.98193,0.98174,0.04875,0.20256,0.35742,0.001288,0.001288,0.001288
46,7465.25,0.02136,0.11953,0.85452,0.94724,0.9521,0.98185,0.98168,0.05552,0.21573,0.36639,0.00109,0.00109,0.00109
47,7614.56,0.02049,0.11565,0.85269,0.94788,0.95221,0.98191,0.98179,0.05804,0.21917,0.36982,0.000892,0.000892,0.000892
48,7756.77,0.019,0.10776,0.85223,0.94814,0.95256,0.98171,0.98156,0.05722,0.2197,0.36893,0.000694,0.000694,0.000694
49,7927.57,0.01773,0.10184,0.85329,0.94725,0.95188,0.98141,0.98123,0.05503,0.21933,0.36589,0.000496,0.000496,0.000496
50,8060.68,0.01642,0.09619,0.8521,0.9471,0.95255,0.98119,0.98106,0.05232,0.21706,0.36221,0.000298,0.000298,0.000298
