epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.244,0.17796,2.18567,0.9684,0.30502,0.73735,0.22683,0.2266,0.15334,1.65955,0.23378,0.00332591,0.00332591,0.00332591
2,527.786,0.14006,1.56654,0.91448,0.25082,0.52376,0.31045,0.27306,0.31483,1.52079,0.38601,0.00652739,0.00652739,0.00652739
3,789.268,0.15297,1.37979,0.91524,0.34422,0.57975,0.32217,0.31484,0.2741,1.7274,0.36333,0.00959687,0.00959687,0.00959687
4,1043.76,0.12953,1.29684,0.90603,0.36503,0.63952,0.3199,0.31254,0.28022,1.51641,0.37355,0.009406,0.009406,0.009406
5,1331.12,0.10033,1.24404,0.89787,0.25603,0.55376,0.36875,0.36357,0.18745,1.55455,0.28442,0.009208,0.009208,0.009208
6,1661.69,0.08556,1.21094,0.89544,0.37951,0.59351,0.34069,0.3404,0.15336,1.36611,0.21881,0.00901,0.00901,0.00901
7,1958.85,0.07609,1.18427,0.89268,0.51983,0.51008,0.45808,0.44714,0.26304,1.23355,0.34851,0.008812,0.008812,0.008812
8,2270.18,0.06982,1.17103,0.89143,0.48318,0.53991,0.4636,0.46121,0.24178,1.1786,0.33616,0.008614,0.008614,0.008614
9,2600.66,0.06476,1.15637,0.89036,0.48509,0.54663,0.46367,0.46236,0.19488,1.15823,0.26253,0.008416,0.008416,0.008416
10,2920.49,0.06006,1.14322,0.89042,0.54137,0.59925,0.53255,0.52382,0.21765,1.07562,0.30511,0.008218,0.008218,0.008218
11,3233.51,0.05727,1.13187,0.88872,0.58095,0.57699,0.5523,0.55219,0.18724,0.99319,0.24458,0.00802,0.00802,0.00802
12,3547.85,0.05353,1.12098,0.88862,0.60927,0.55754,0.54529,0.54244,0.19046,1.01793,0.26041,0.007822,0.007822,0.007822
13,3881.42,inf,1.11195,0.88782,0.38054,0.58302,0.51486,0.51208,0.2178,1.15158,0.28616,0.007624,0.007624,0.007624
14,4193.64,0.04964,1.1102,0.88753,0.45257,0.66436,0.55836,0.5555,0.20446,0.99816,0.28403,0.007426,0.007426,0.007426
15,4508.49,0.04862,1.09702,0.88841,0.44836,0.59067,0.53768,0.53509,0.19806,1.05222,0.2701,0.007228,0.007228,0.007228
16,4831.59,0.04593,1.0897,0.88828,0.50762,0.65794,0.59219,0.58982,0.20398,0.99562,0.28425,0.00703,0.00703,0.00703
17,5154.76,0.04384,1.08137,0.88643,0.54065,0.64843,0.60213,0.59889,0.19044,0.95395,0.26827,0.006832,0.006832,0.006832
18,5442.8,0.04285,1.07857,0.88691,0.49024,0.63998,0.57772,0.57598,0.17031,0.99349,0.24036,0.006634,0.006634,0.006634
19,5698.47,0.04125,1.06751,0.88738,0.55311,0.66097,0.62462,0.62406,0.15138,0.90587,0.20306,0.006436,0.006436,0.006436
20,5965.7,0.04022,1.06713,0.88574,0.57564,0.64138,0.62719,0.62718,0.1291,0.87329,0.17403,0.006238,0.006238,0.006238
21,6213.59,0.03844,1.05836,0.88513,0.55967,0.64176,0.62757,0.62561,0.18019,0.92364,0.24403,0.00604,0.00604,0.00604
22,6466.61,inf,1.05044,0.88605,0.57446,0.65055,0.63661,0.63661,0.12224,0.85211,0.164,0.005842,0.005842,0.005842
23,6735.01,inf,1.04503,0.88485,0.56539,0.67415,0.64022,0.64022,0.11967,0.84513,0.1622,0.005644,0.005644,0.005644
24,6988.82,inf,1.04717,0.88602,0.57731,0.65378,0.6454,0.64493,0.13166,0.86234,0.1772,0.005446,0.005446,0.005446
25,7242.16,inf,1.03828,0.88584,0.57491,0.65531,0.65204,0.64899,0.17871,0.8977,0.24747,0.005248,0.005248,0.005248
26,7507.49,inf,1.02985,0.88494,0.58437,0.65224,0.65332,0.649,0.19313,0.90138,0.26847,0.00505,0.00505,0.00505
27,7634.48,inf,1.03149,0.88512,0.58417,0.65708,0.6545,0.65173,0.19321,0.9005,0.26863,0.004852,0.004852,0.004852
28,7747.64,0.03183,1.02235,0.88471,0.58737,0.66216,0.65972,0.65669,0.20072,0.89544,0.27645,0.004654,0.004654,0.004654
29,7860.69,0.03029,1.01956,0.88536,0.60239,0.64896,0.66456,0.66155,0.21081,0.88419,0.28858,0.004456,0.004456,0.004456
30,7973.82,inf,1.01078,0.88302,0.59961,0.66008,0.66757,0.66509,0.19974,0.88439,0.27627,0.004258,0.004258,0.004258
31,8086.8,inf,1.00769,0.8836,0.6069,0.66454,0.67161,0.66969,0.19335,0.88545,0.267,0.00406,0.00406,0.00406
32,8199.84,inf,1.00256,0.88433,0.61234,0.65701,0.67402,0.6723,0.19138,0.87735,0.26442,0.003862,0.003862,0.003862
33,8313.08,inf,0.99858,0.88348,0.57997,0.67029,0.65996,0.65847,0.19176,0.8983,0.26341,0.003664,0.003664,0.003664
34,8426.03,0.02763,0.996,0.88244,0.59425,0.67937,0.67242,0.67127,0.18839,0.88269,0.25826,0.003466,0.003466,0.003466
35,8539.49,inf,0.99668,0.88482,0.58379,0.66026,0.66387,0.66268,0.18961,0.90278,0.26112,0.003268,0.003268,0.003268
