epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.705,1.7614,0.35887,0.92129,1.61681,0.00332591,0.00332591,0.00332591
2,98.2714,1.54169,0.48718,0.96475,1.34336,0.00659332,0.00659332,0.00659332
3,144.144,1.37076,0.54026,0.97116,1.22971,0.00979472,0.00979472,0.00979472
4,191.105,1.26201,0.573,0.98077,1.12354,0.009703,0.009703,0.009703
5,237.831,1.1784,0.58624,0.9805,1.08303,0.009604,0.009604,0.009604
6,284.785,1.1273,0.60894,0.9837,1.04225,0.009505,0.009505,0.009505
7,330.716,1.08957,0.54792,0.97757,1.18377,0.009406,0.009406,0.009406
8,375.685,1.06725,0.6134,0.98272,1.03316,0.009307,0.009307,0.009307
9,420.654,1.04377,0.63681,0.98607,0.97944,0.009208,0.009208,0.009208
10,466.611,1.02294,0.63681,0.98732,0.98186,0.009109,0.009109,0.009109
11,511.793,1.00464,0.64879,0.98746,0.95771,0.00901,0.00901,0.00901
12,557.825,0.98972,0.64071,0.98537,0.96738,0.008911,0.008911,0.008911
13,607.822,0.97545,0.64001,0.98732,0.95921,0.008812,0.008812,0.008812
14,653.259,0.9667,0.6552,0.98663,0.94206,0.008713,0.008713,0.008713
15,699.14,0.94833,0.65882,0.99011,0.93574,0.008614,0.008614,0.008614
16,743.686,0.94434,0.65729,0.98885,0.92568,0.008515,0.008515,0.008515
17,789.42,0.93473,0.66871,0.99053,0.90906,0.008416,0.008416,0.008416
18,838.078,0.93024,0.65854,0.99039,0.9158,0.008317,0.008317,0.008317
19,885.429,0.91532,0.66955,0.99122,0.90211,0.008218,0.008218,0.008218
20,934.047,0.9112,0.67317,0.98844,0.90268,0.008119,0.008119,0.008119
21,979.609,0.90024,0.67804,0.99025,0.90123,0.00802,0.00802,0.00802
22,1024.43,0.89052,0.67609,0.99025,0.91111,0.007921,0.007921,0.007921
23,1071.43,0.88703,0.68153,0.99053,0.89051,0.007822,0.007822,0.007822
24,1118.64,0.88258,0.68348,0.9922,0.87488,0.007723,0.007723,0.007723
25,1166.82,0.87693,0.67986,0.99067,0.90014,0.007624,0.007624,0.007624
26,1215.03,0.86178,0.68334,0.99178,0.8882,0.007525,0.007525,0.007525
27,1260.44,0.85369,0.68362,0.99192,0.87954,0.007426,0.007426,0.007426
28,1304.82,0.85617,0.6871,0.99136,0.87973,0.007327,0.007327,0.007327
29,1349.5,0.84924,0.68445,0.99136,0.88003,0.007228,0.007228,0.007228
30,1394.72,0.84618,0.6871,0.9922,0.87961,0.007129,0.007129,0.007129
31,1439.83,0.83605,0.68668,0.99248,0.88873,0.00703,0.00703,0.00703
32,1487,0.83089,0.68557,0.99206,0.89076,0.006931,0.006931,0.006931
33,1533.54,0.82141,0.68877,0.99248,0.88154,0.006832,0.006832,0.006832
34,1581.14,0.81993,0.68989,0.99262,0.88084,0.006733,0.006733,0.006733
35,1628.54,0.81538,0.6903,0.99262,0.88473,0.006634,0.006634,0.006634
36,1674.4,0.81,0.69058,0.99248,0.8791,0.006535,0.006535,0.006535
37,1721.44,0.80006,0.68975,0.99234,0.87872,0.006436,0.006436,0.006436
38,1766.97,0.79496,0.69016,0.9922,0.88137,0.006337,0.006337,0.006337
39,1813.26,0.78918,0.68989,0.99206,0.88174,0.006238,0.006238,0.006238
40,1860.28,0.77724,0.69198,0.99206,0.87863,0.006139,0.006139,0.006139
41,1906.23,0.77568,0.69003,0.99206,0.8774,0.00604,0.00604,0.00604
42,1952.08,0.76603,0.69072,0.99206,0.87856,0.005941,0.005941,0.005941
43,1997.45,0.7666,0.68975,0.99206,0.87974,0.005842,0.005842,0.005842
44,2043.62,0.75757,0.69072,0.99206,0.87295,0.005743,0.005743,0.005743
45,2089.52,0.74996,0.69184,0.99206,0.88381,0.005644,0.005644,0.005644
46,2135.97,0.74491,0.69267,0.99192,0.8707,0.005545,0.005545,0.005545
47,2183.18,0.73773,0.69379,0.99206,0.87638,0.005446,0.005446,0.005446
48,2229.69,0.72927,0.69393,0.9922,0.87959,0.005347,0.005347,0.005347
